index,comment_id,comment_text,sentiment,category,response_text,response_type
1,66cccd83000000000a01768c,无法停止回想复盘➕悔不当初，太痛苦了,消极,未分类,,
2,66cc5fc50000000020025a1b,没人告诉过我为了考个研究生我要如此痛苦 人为什么要考试 查到成绩之后疯狂安慰自己人生不会完蛋的 但还是爆哭到头疼 可是我连哭的时间都没有 一边哭一边学 考不上研究生人生会玩蛋吗,消极,未分类,,
3,66cd8dad0000000016011391,巨大的灾难 超出了我的承受范围 我感觉我不行了,消极,未分类,,
4,66cf13ee0000000020026935,人所有的痛苦都来源于不接纳，这件事不应该这样，应该是如我所愿那样子的，当你不接纳就是在对抗，你越对抗，令你痛苦的这件事带给你的感觉就会越痛苦，只有接受事实，然后它就有会转机。,消极,未分类,,
5,66cc5a5c0000000020021ce0,真的很痛苦，这两年是我人生中最灰暗的时候，很多次活不下去，一直活在过去，担心未来，每天胡思乱想，现在我的心已经千疮百孔！我在想我上辈子是不是犯了很大的错，这样惩罚我，,消极,未分类,,
6,67b52883000000001c008cf2,特别痛苦，如果不做脂肪填充，我的脸起码还能看，打扮一下做个发型还是可以的，现在直接成了个大饼脸，而且脂肪怎么都消不掉，没有任何办法了，真的特别痛苦,消极,未分类,,
7,6788b6be000000002103d83b,所有的状态都是当下最好的选择。有需要帮助可以来找我，公益心理疏导。,消极,未分类,,
8,67bf6bce0000000019001da2,3点多被自己的后悔弄醒，为什么自己两次都失败，老天爷就是不想让我成功一次，这次是最接近的，最好的一次，却因为我自己身体上的问题，面试资格都没有，两次，在同一个问题跌倒，真的很痛苦，想快点走出去，不知道怎么调节自己，看家里人上火我也很难过，我的人生从结婚之后就没有好的运气......,消极,未分类,,
9,67825c1b0000000022009393,最近真的很难过我的一颗大牙被医生过度治疗根管了。只要想起来就会很痛苦，因为感觉不对劲但是还是相信他的话，现在解决起来也很麻烦，最近只要想到就很痛苦，干什么都提不起劲。不知道以后会怎么样，能不能解决好。也不知道怎么让自己心情好起来[哭惹R],消极,未分类,,
10,675b248a000000000e00f24c,好难过 一个月来 每天都会懊悔  悔不当初 [叹气R]真的好痛苦,未标注,未分类,,
11,67db9879000000001500182f,那是疼痛难忍呢怎么出去[笑哭R],未标注,未分类,,
12,67d6983700000000170320fc,不知道为什么总是在内耗，真的特别痛苦，总是想已经过去了的事，希望我能一觉醒来变好了，也希望每个人都能这样[拥抱R][拥抱R],未标注,未分类,,
13,67d48607000000000f03063c,好多痛苦啊，最近半夜老是惊醒然后被痛苦回忆压的喘不过气，哎，没事的。,未标注,未分类,,
14,67d1e6500000000017030374,找不到工作 看不到希望,未标注,未分类,,
15,67d178ec000000001801461f,要疯了尿失禁没钱治没钱吃早饭,未标注,未分类,,
16,67cfbd7b00000000150058d7,原来有这么多人都在痛苦中 默默承受着无人诉说的痛苦😣希望都快好起来,未标注,未分类,,
17,67cb91f6000000001802ff75,太痛苦了，因为我的失误，我心爱的狗狗离开了这个世界，我想死，可是我还有孩子，痛不欲生，睡不着吃不下，又不想影响孩子，怎样才能为了孩子振作起来重新开始？,未标注,未分类,,
18,67c9f4e30000000018014ebb,我太痛苦了，可我无人诉说,未标注,未分类,,
19,67c753ec000000001801eaf4,我从21年后至今，就感觉我做什么事都有磕绊，工作上即便努力也拿不到结果反而还有很多麻烦，一直想要孩子也要不出来，经历2次，怀孕，保胎，胎停，流产，特么流产还流不静，还有后遗症月经都不正常来，就看别人都很顺利的那种，就我各种不行，各种难，哎，真的，现在有点小事，不顺利，都会联想到这几年的不顺，好像有一双无形大手压着我不让我起来，我只要想的事情没有一件有好结果的！,未标注,未分类,,
20,67c31db10000000016032249,难受，刚刚发现被当作工具人了，你诉苦的时候我绞尽脑汁回复你，为什么我有需要的时候就敷衍了事[哭惹R],未标注,未分类,,
21,67c29045000000001c00a15d,我不想活了。怎么办。每一天每一分钟都无比痛苦,未标注,未分类,,
22,67c1e56d00000000190167f4,不知道为什么难过和痛苦怎么办，晚不熬到34点都睡不着，老是晚上哭是怎么回事，一天就只想睡觉，对什么都提不起兴趣，感觉对什么都淡淡的，情感漠视，做事情也十分拖延,未标注,未分类,,
23,67bf2e08000000001c00cf85,总感到自己很倒霉运气差，心里有一点不顺心的就很烦躁,未标注,未分类,,
24,67baec3700000000190167f9,很痛苦，真正体会了那种痛苦到仿佛被关在密闭无氧空间中呼吸不上来快要窒息的感觉，也感觉到心从抽搐和疼痛到快要停止跳动致使全身无力瘫软的感觉，同时也感觉到周围嗡嗡声不断致使脑子感觉很杂乱无章，完全不记得上一秒自己做过什么，说过什么，周围人在说话什么也听不清楚。但当这种痛苦慢慢开始有所消退，感觉脑子一片空白，心脏也一片空白，浑身极度无力的瘫软在床上，再也无法思考和感受到任何情绪。 闭上眼，感觉好像已经死了，分不清是醒着还是梦，还是一种什么样的状态。很长一段时间，我一度觉得自己思维混乱，时空混乱，就像是一个精神病，与人为所谓的正常相比，自己如此不正常……,未标注,未分类,,
25,67b9d231000000001c00acd5,我就是恨这个世界，我像螺丝一样 突然感觉这个世界好恶心 我恨我天生不是有钱人,未标注,未分类,,
26,67b72b83000000001c00a02e,谢谢你,未标注,未分类,,
27,67b52f8f00000000190104be,感觉被陷在了泥潭里，挣不出来，灭顶的窒息感，好想一睡不醒[哭惹R][哭惹R][哭惹R],未标注,未分类,,
28,67b43f59000000001c00a1b0,这十年都很痛苦，快乐的很少，最近遭遇人生中最灰暗的事情，每天都哭，一边崩溃一边自愈，挣扎向前,未标注,未分类,,
29,67b406c00000000016013465,心如止水的思考要去哪个清净的地方挥手告别,未标注,未分类,,
30,67b399350000000016037cd8,睡觉的时候怎么破呢？,未标注,未分类,,
31,67b21b1c000000001c008384,我也是好痛苦,未标注,未分类,,
32,67b200ab000000001c00b321,坚持不住了…,未标注,未分类,,
33,67b1b5460000000019005915,如果一开始就是注定失去，那为什么要获得呢,未标注,未分类,,
34,67b1b525000000001803c5fe,我真的好痛苦，痛得快坚持不下去了。,未标注,未分类,,
35,67b1810d000000001b039dec,走出门，活下去,未标注,未分类,,
36,67b0b065000000001b03ae21,可是在夜晚怎么办，辗转反侧，控制不住[哭惹R][哭惹R][哭惹R],未标注,未分类,,
37,67afc622000000001c006936,我最近才算了八字，是我第一次算。感觉真的好准，我当时啥都没说，然后把我和男朋友的性格都分析准了 情况说准了 还算出来了他父母不喜欢我，然后说我的正缘的样貌 正缘的相貌和我男朋友一模一样 说男朋友是我正缘 过两年会结婚 就是中间很多挫折 还叫我改一下性格 指点我怎么去做 就后面真的和好了,未标注,未分类,,
38,67af1e55000000001803d1c6,zs会收到惩罚吗？不管缘由？那些极度痛苦的人不想拖累别人的人选择zs下辈子也还会循环吗,未标注,未分类,,
39,67ae371c000000001c00447c,对，难受的时候就想想怎么能不难受,未标注,未分类,,
40,67ac5e110000000016014dcd,让我痛苦的一直是我自己,未标注,未分类,,
41,67a9e779000000001c004631,人的情绪归因发展历经三个阶段：在初始的“心理外归因”阶段，人们倾向于将自身情绪完全归咎于外在环境，认为外界因素主导了心理状态；随着认知的发展进入“折中分辨”阶段，此时开始意识到情绪的产生并非单一因素所致，而是外在环境与自我心态共同作用的结果；最终达到“悟性反应”阶段，能够洞察到眼前的种种境遇皆为外在表象，而自身的信念才是决定情绪体验的根源所在，从而实现从被动受环境影响到主动凭借内在信念掌控情绪的转变。,未标注,未分类,,
42,67a76e400000000018034810,一个朋友给我造成了极大的痛苦，和他相处真的很让我痛苦，他自私又强势，但是由于有利益牵扯，我还要和他共事，无法彻底切割。我尽量让自己不在乎他的任何言语，但总是控制不住的想到他让我痛苦的事情，反复回想，太痛苦了。,未标注,未分类,,
43,67a50910000000001a00e486,从去年陪着他听他骂我的歌到如今真正的痛苦撕心裂肺 前者拿刀捅我自己 后者他拿刀捅我 感受确实不一样 可心再经历两遍痛苦以后 早已支离破碎 他还觉得不够 殊不知我早已还清 欠你的我在你看不见的地方还了 我们两不相欠 被爱的人误解才是人生最大的悲哀 反反复复说着早已知晓的道理 却无一真正表达我内心的痛 他还觉得我无视痛苦 实际上我根本没办法解决早已扩大的伤口 连我的内在小孩都告诉我救不回来 我还要在家人面前佯装自己是正常人 在崩溃中还要保持理智 说我祥林嫂就祥林嫂吧 我也需要发泄的出口 但无论打多少字都发泄不了,未标注,未分类,,
44,67a242ce000000001b03c027,放下手机就只想哭[抓狂R],未标注,未分类,,
45,67a20511000000002102f571,为什么要活着 活着好痛苦 死了肯定比活着好吧,未标注,未分类,,
46,67a202dc000000001a039bba,唉不想读书啊想去赚钱，烦，苟着吧，什么时候开学呢，活着真没有意思，没有个真心喜欢我的人[笑哭R],未标注,未分类,,
47,67a201c9000000001b033d11,一次又一次被抛弃，一点都不想谈恋爱了，都走吧，想走就快点走，但是不谈又不知道为了谁活着，不想给不缺爱的人献爱了,未标注,未分类,,
48,67a2010e000000001a00f109,我爸妈把我当垃圾，又指望我找个有钱人，算咯，我只想找个穷男生但是真心喜欢我的[飞吻R],未标注,未分类,,
49,67a0c0430000000020039999,当树洞！听倾诉，本人INFP.平时也经常安慰倾听身边的人。文明交流，不脏不带颜色，可提前说是否需要开导。可纯倾听当树洞。绝不透露任何个人信息，（基本素养！绝不外泄！）一个小时30r。,未标注,未分类,,
50,67a067da000000001b03e56b,我也好难受，感觉自己陷入了虚无主义[失望R][哭惹R][哭惹R][哭惹R],未标注,未分类,,
51,679ef310000000001a00d248,我不想活了，我死了，他们会不会后悔这样对我,未标注,未分类,,
52,679e5f1e000000002101e689,很累很累，每个年龄段都有数不完的糟心事，可是似乎没什么办法，关关难过关关过，不过每一段不顺心的经历也只是我们生命长河的一小段而已，所以难受烦心甚至痛苦都是暂时的，我们要相信美好幸福的事总会发生，并且为之努力 生命本没有意义，一切都是体验，而努力让自己的体验变得更好就是生命的意义，加油,未标注,未分类,,
53,679e2523000000000c010e09,被男人骗了很多钱,未标注,未分类,,
54,679ce7a7000000000b00b6e6,很痛苦，孩子已经21岁了，把自己所有的不顺心都要加倍说给我听，这些年对她的好一件都不记得，还说我偏心小的。她像个永远不愿意长大的孩子，逼着我去听，去承担她所谓的痛苦。我说我也不想在这家待了，我太累了，她说那她就去死。。。。。,未标注,未分类,,
55,679cb226000000001b02e2e3,生病生病生病，感觉就没好过[哭惹R]好难受好烦,未标注,未分类,,
56,679a4d82000000000a02f22c,我不停地想把痛苦的事情想明白，要不然下次它还是会如潮水般把我淹没，一直折磨[哭惹R][哭惹R],未标注,未分类,,
57,6793c54a0000000009020b85,不要为了活着 活着，结束我自己的大痛苦也是一种真真的解脱 对自己真正的解救“放生”活着只是为了活出价值和不痛苦仅此而已❗️,未标注,未分类,,
58,67935c640000000021034abc,痛苦太大了，怎么也接受不了现实，甚至要欺骗自己的大脑才能好受一点[可怜R],未标注,未分类,,
