note_id,id,target_comment_id,content,ip_location,like_count,create_time,user_info,at_users,liked,show_tags,status,sub_comments,sub_comment_cursor,sub_comment_count,sub_comment_has_more
67a36220000000001701e497,67aa223200000000190008b9,,我意识到我的痛苦只有死亡能解决，但懦弱的我不会死，于是我更痛苦了,,1209,1739203123000,吧唧,[],False,[],0,"[{'id': '67acfead0000000019004499', 'note_id': '67a36220000000001701e497', 'at_users': [], 'liked': False, 'show_tags': [], 'target_comment': {'id': '67aa223200000000190008b9', 'user_info': {'user_id': '5716070284edcd35ec9977fc', 'nickname': '吧唧', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/6155aee1c06f83d24097bc5a.jpg?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABAuTeF83WlpinKV7vmRMQkCaD-uYtTHiFCmDIDJYkRF8='}}, 'status': 0, 'content': '你其实想活，但你又想杀死痛苦，于是陷入两难[笑哭R]', 'like_count': '327', 'user_info': {'user_id': '63189d510000000015016574', 'nickname': '雨魂', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30rih74eai25g5ooojl8lapbkqpvmsgo?imageView2/2/w/120/format/jpg', 'xsec_token': 'AB1ehC3J2Oyay1MWNQlUo_eGaU_Yw4qeXsiyz3lEz5EaQ='}, 'create_time': 1739390638000}]",67acfead0000000019004499,58,True
67a36220000000001701e497,67ae0f59000000001603119f,,每天都在许愿猝死或者得恶性度高的癌症发现即晚期转移的那种[合十R],,440,1739460442000,momo,[],False,[],0,"[{'id': '67ae451a00000000190044e9', 'note_id': '67a36220000000001701e497', 'content': '猝死真的是福报 好人不长命其实是给好人的奖励 因为活着真的没意思', 'liked': False, 'target_comment': {'id': '67ae0f59000000001603119f', 'user_info': {'user_id': '64477018000000001f031719', 'nickname': 'momo', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/2b4cefbb01e0a0824f5c173dde7f98b2.jpg?imageView2/2/w/120/format/jpg', 'xsec_token': 'AB8PXRGDOPlGjjYW_9wVs7QBz1M4WRmyvhrBC4waHZ97s='}}, 'status': 0, 'at_users': [], 'like_count': '819', 'user_info': {'user_id': '62392ac400000000210296ff', 'nickname': '。。', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30ofrqq7cim005ohp5b28d5nvt5fgph8?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABfVYgpNigr1blzJ0qNU2BsmSjjHGu08L9T7Ya8OffbLc='}, 'show_tags': [], 'create_time': 1739474203000}]",67ae451a00000000190044e9,50,True
67a36220000000001701e497,67c6bf870000000017028bd5,,要是我能晚上睡着再也醒不来该多好,安徽,320,1741078407000,初冬,[],False,[],0,"[{'content': '我也希望，或者得癌症、绝症，活个一两年就噶，真的受不了了', 'liked': False, 'like_count': '78', 'user_info': {'user_id': '62694e5c0000000021020a9b', 'nickname': '塔纳托斯', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31a8pka4vne6g5oj99pe8c2krjhnm118?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABCpHaLpIP7sczxp6rGRxtHELsOHaW73Rz5lJ6TqtE1CI='}, 'show_tags': [], 'create_time': 1741090572000, 'ip_location': '四川', 'note_id': '67a36220000000001701e497', 'target_comment': {'user_info': {'xsec_token': 'ABriWe4p9Do5E7YjsQuD-3vYodzO3QiFruajtueuQmrnQ=', 'user_id': '63536e0f000000001802a34b', 'nickname': '初冬', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31eritl966a005oqjdo7m58qbq6g269o?imageView2/2/w/120/format/jpg'}, 'id': '67c6bf870000000017028bd5'}, 'status': 0, 'at_users': [], 'id': '67c6ef0b000000001702adad'}]",67c6ef0b000000001702adad,48,True
67a36220000000001701e497,67aa140400000000160176ea,,我都想死了 家里人还跟我说我想死是因为没找对象没结婚没生孩子,,105,1739199493000,少卿,[],False,['is_author'],3,"[{'id': '67aa820600000000190155e6', 'note_id': '67a36220000000001701e497', 'status': 0, 'user_info': {'user_id': '5bd51e67deb1fe0001c20171', 'nickname': '青彻', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31b9eug707m6g4bl73uf6e0bhqeuqck8?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABKVZp7UyakDCRaCSez3AMJjkbl_-c9fidg6zTSxAQxWQ='}, 'create_time': 1739227654000, 'target_comment': {'id': '67aa140400000000160176ea', 'user_info': {'nickname': '少卿', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31f6sa86tma004a4q1v53fh9svem0kg8?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABnN6Y0Ze7wbd0wWrrGRIzQ9FSxJwrkqWFBaNiY3h3JU4=', 'user_id': '5adfca3711be105c4d0dc53c'}}, 'content': '临死前发个疯，对着他们大喊大叫，不内耗自己试试外耗别人的活法，虽然后面可能还想死，但看着让自己伤心的人痛苦就有盼头了[萌萌哒R]', 'at_users': [], 'liked': False, 'like_count': '46', 'show_tags': []}]",67aa820600000000190155e6,29,True
67a36220000000001701e497,67aca43c000000001c00de4a,,如果可以在睡梦中离去就好了,,183,1739367485000,来韵,[],False,[],0,"[{'note_id': '67a36220000000001701e497', 'content': '+1', 'target_comment': {'id': '67aca43c000000001c00de4a', 'user_info': {'user_id': '5ca31ac5000000001101cd2b', 'nickname': '来韵', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31dl9k4d4h2605n533b2kbj9bpa9s50g?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABPqyHxjNyZBwv_XTa89cXhDRhsiLkslcwn2Y81E6gRgM='}}, 'like_count': '2', 'user_info': {'xsec_token': 'ABvXZSTh4uHjfW_o-1_w-m5K1hgXnJHBC3t1Ah3BD2Q-0=', 'user_id': '5fc1025f0000000001009ecd', 'nickname': '菁菁', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31eojq49h6e6g5nu109fg97mdca3sm18?imageView2/2/w/120/format/jpg'}, 'show_tags': [], 'create_time': 1739372756000, 'id': '67acb8d40000000016015a15', 'status': 0, 'at_users': [], 'liked': False}]",67acb8d40000000016015a15,6,True
67a36220000000001701e497,67d31403000000001801fcaf,,我准备用亚硝酸钠走了。有没有懂的聊聊,浙江,5,1741886468000,uiii,[],False,[],0,"[{'id': '67d850f60000000017028f5d', 'liked': False, 'user_info': {'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31dh2gtfvgm704a4iiigtg7a8va2fme0?imageView2/2/w/120/format/jpg', 'xsec_token': 'AB44wlU3GTEeozVIOuZ5xhphYDF1HgReXn1jtXlmCPMb4=', 'user_id': '5ad3e1d8e8ac2b6e95361d48', 'nickname': '我们魈厨就是这样滴呢'}, 'show_tags': [], 'ip_location': '中国', 'target_comment': {'id': '67d31403000000001801fcaf', 'user_info': {'xsec_token': 'ABnHxmUMlHBHVgIGk1Drh0CJbVSmvr4Lu2xCvF_VTx25Y=', 'user_id': '65b2a612000000001302b1dc', 'nickname': 'uiii', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31ejkuhcp0s6g5pdiko94tcesk92kcr0?imageView2/2/w/120/format/jpg'}}, 'note_id': '67a36220000000001701e497', 'status': 0, 'content': '创造群的那个也是 万一是骗钱的 也不怕被骗吗[笑哭R] 还各个都要加。万一是真的这种群 出事需要付出法律责任的 不想伤害别人 就在停下脚步 好好考虑一下 你是真的觉得活下去没有意义了吗', 'at_users': [], 'like_count': '2', 'create_time': 1742229750000}]",67d850f60000000017028f5d,19,True
67a36220000000001701e497,67da56d90000000018016363,,最绝望的就是身体，一会这不好一会那不好，上几个还没好又来新的，真的看不到一丁点希望，老天爷要收就早点收吧，何苦这般折磨,四川,3,1742362330000,黄连炒肉,[],False,[],0,"[{'status': 0, 'content': '我现在就是这样 死不了的小毛病一堆', 'liked': False, 'like_count': '1', 'user_info': {'user_id': '5adfca3711be105c4d0dc53c', 'nickname': '少卿', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31f6sa86tma004a4q1v53fh9svem0kg8?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABnN6Y0Ze7wbd0wWrrGRIzQ9FSxJwrkqWFBaNiY3h3JU4='}, 'ip_location': '山东', 'target_comment': {'id': '67da56d90000000018016363', 'user_info': {'user_id': '5f4144c20000000001003538', 'nickname': '黄连炒肉', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo313hmp7rtg0005nq18j108d9of8hkf3g?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABvvtrZBxTLvL9N-Pp9E4t7L8OR1R_a2CfA5GwW3iit0E='}}, 'id': '67da5d4f000000001802c942', 'note_id': '67a36220000000001701e497', 'at_users': [], 'show_tags': ['is_author'], 'create_time': 1742363983000}]",67da5d4f000000001802c942,4,True
67a36220000000001701e497,67cd94700000000015005e14,,我也准备离开了  买了无痛的药,湖北,2,1741526129000,莓桃,[],False,[],0,"[{'at_users': [], 'liked': False, 'show_tags': [], 'ip_location': '山东', 'target_comment': {'id': '67cd94700000000015005e14', 'user_info': {'xsec_token': 'ABeJMelDueRZ4MPPA6dYrJ5UXPk87kwcsyjKg76-x_ego=', 'user_id': '66db07a0000000001d02268f', 'nickname': '莓桃', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31elfuo2pks605pmr0ug7c9kfeutudn8?imageView2/2/w/120/format/jpg'}}, 'id': '67cd9b5b0000000017032d22', 'content': '能不能分享一下', 'like_count': '0', 'user_info': {'nickname': '夏心', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo317mjhp8lk40049v915mti3b4896agc0?imageView2/2/w/120/format/jpg', 'xsec_token': 'AB_zZzCqmnH_02-6rWJBtj1AsVsdn8Oq_a8bGuXMeUZh8=', 'user_id': '5a01edd94eacab2149660d64'}, 'create_time': 1741527900000, 'note_id': '67a36220000000001701e497', 'status': 0}]",67cd9b5b0000000017032d22,9,True
67a36220000000001701e497,67d160c5000000001802f3ba,,想找个屋子烧炭，又担心死了别人屋里不好…,北京,9,1741775046000,小朋友,[],False,[],3,"[{'show_tags': [], 'id': '67d2c3f90000000015029f98', 'note_id': '67a36220000000001701e497', 'content': '咋跟我一样', 'at_users': [], 'liked': False, 'like_count': '1', 'user_info': {'user_id': '646029f100000000100289d4', 'nickname': '月 光 宝 盒', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31dhg9rfp0m6g5p3057ok52eki7drj48?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABvRfzXHGEjNhRrLy_OyFKCatWyJRImIE_T0Xvj6c0RvU='}, 'create_time': 1741865977000, 'target_comment': {'id': '67d160c5000000001802f3ba', 'user_info': {'user_id': '5e296685000000000100a547', 'nickname': '小朋友', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/5e8d89f3db81e500017a1bc2.jpg?imageView2/2/w/120/format/jpg', 'xsec_token': 'AB1uLlhwSe5Qqg3wk-NDyPeYTlAe57UpdBeo6HPHbaYgQ='}}, 'status': 0, 'ip_location': '河南'}]",67d2c3f90000000015029f98,5,True
67a36220000000001701e497,67cb057400000000150145c2,,有孩子，不敢死，痛苦万分，万分后悔带他来世上受罪[哭惹R],广东,9,1741358453000,momo哒,[],False,[],0,"[{'id': '67cb16ca000000001802c191', 'note_id': '67a36220000000001701e497', 'content': '同感', 'at_users': [], 'liked': False, 'create_time': 1741362891000, 'ip_location': '天津', 'target_comment': {'id': '67cb057400000000150145c2', 'user_info': {'user_id': '6040c954000000000101d73c', 'nickname': 'momo哒', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/641a49e794e6bf2ea7665574.jpg?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABG7KMKmFFB4IGPvEGzZIHtcISkysRplZOxk8iX8nNHpc='}}, 'status': 0, 'like_count': '0', 'user_info': {'user_id': '5b36355611be10694ca3ebfa', 'nickname': 'A小小幸福😁', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo3164g22afha6g4a6mcgqldqvq2gu93qg?imageView2/2/w/120/format/jpg', 'xsec_token': 'AB8VURWdn-JvIaFZAjG-gMYa-eIb8mA3CsFfn7sYv6SPU='}, 'show_tags': []}]",67cb16ca000000001802c191,3,True
